stock_code,firm_name,year,industry_code,industry_name,manufacturing,province_std,rd_intensity,rd_tax_deduction,rd_expense_est,patent_stock,gov_subsidy_rd,rd_deduction_rate,ln_assets,roa,lev,firm_age,dual_position,post2021,post2022,post2023,manufacturing_post2021,manufacturing_post2022,province_gdp,ln_gdp_prov,province_budget_exp,province_sci_tech_exp,sci_tech_exp_ratio,ip_protection_score,invention_apply,invention_grant,patent_apply_total,patent_grant_total,tech_market_turnover,ln_patent_stock,asinh_patent_stock,ln_rd_tax_deduction,ln_rd_expense_est,gov_subsidy_rd_missing,gov_subsidy_rd_zero,ln_gov_subsidy_rd,ln_patent_stock_w,asinh_patent_stock_w,rd_intensity_w,ln_rd_expense_est_w,ln_gov_subsidy_rd_w,ln_assets_w,roa_w,lev_w,firm_age_w,sci_tech_exp_ratio_w,province_gdp_w,province_budget_exp_w,province_sci_tech_exp_w,ip_protection_score_w,tech_market_turnover_w,invention_apply_w,invention_grant_w,ln_rd_tax_deduction_w,ln_rd_tax_deduction_l1
000400,许继电气,2024,C38,电气机械和器材制造业,1,河南省,5.15,-93546386.5,374185546.0,3082,9783225.92,1.0,23.95,0.051146,0.509914,27,0,1,1,1,1,1,63557.1,11.05969399342976,11464.16,,,84.17,32064.0,17610.0,172726.0,110654.0,1754.37,8.03365842788615,8.72648122275933,0.0,19.74026234732772,0,9783225.92,16.09617993850941,8.03365842788615,8.72648122275933,5.15,19.74026234732772,16.09617993850941,23.95,0.051146,0.509914,27,,63557.1,11464.16,,84.17,1754.37,32064.0,17610.0,0.0,
000425,徐工机械,2019,C35,专用设备制造业,1,,4.15,-246991245.83,1317286644.426667,5159,48745120.0,0.75,25.07,0.047164,0.564685,23,0,0,0,0,0,0,,,,,,,,,,,,8.548691858475609,9.241645231197696,0.0,20.99883988631117,0,48745120.0,17.702115668348306,8.548691858475609,9.241645231197696,4.15,20.99883988631117,17.620652261238988,25.07,0.047164,0.564685,23,,,,,,,,,0.0,
000425,徐工机械,2020,C35,专用设备制造业,1,,5.07,-271621474.41,1448647863.52,5944,49340086.71,0.75,25.24,0.040804,0.627759,24,0,0,0,0,0,0,,,,,,,,,,,,8.690305809124883,9.383284774033452,0.0,21.09389645109596,0,49340086.71,17.714247446729086,8.690305809124883,9.383284774033452,5.07,21.09389645109596,17.620652261238988,25.24,0.040804,0.627759,24,,,,,,,,,0.0,0.0
000425,徐工机械,2021,C35,专用设备制造业,1,,5.28,-416135447.04,1664541788.16,122,21043000.0,1.0,25.42,0.051325,0.662188,25,0,1,0,0,1,0,,,,,,,,,,,,4.812184355372417,5.497185021430095,0.0,21.232815720798175,0,21043000.0,16.8620785687425,4.812184355372417,5.497185021430095,5.28,21.232815720798175,16.8620785687425,25.42,0.051325,0.662188,25,,,,,,,,,0.0,0.0
000425,徐工机械,2022,C35,专用设备制造业,1,,6.13,-469495201.32,1877980805.28,9742,,1.0,25.89,0.024529,0.687841,26,0,1,1,0,1,1,,,,,,,,,,,,9.184304357425342,9.877348897560603,0.0,21.353462997382064,1,0.0,0.0,8.797113015518004,9.490109021467145,6.13,21.353462997382064,0.0,25.87079999999999,0.024529,0.687841,26,,,,,,,,,0.0,0.0
000425,徐工机械,2023,C35,专用设备制造业,1,,5.43,-499331846.37,1997327385.48,10913,,1.0,25.81,0.032323,0.64513,27,0,1,1,1,1,1,,,,,,,,,,,,9.297801647746176,9.990857200772226,0.0,21.41507581709226,1,0.0,0.0,8.797113015518004,9.490109021467145,5.43,21.41507581709226,0.0,25.81,0.032323,0.64513,27,,,,,,,,,0.0,0.0
000425,徐工机械,2024,C35,专用设备制造业,1,,6.11,-388924772.07,1555699088.28,11981,,1.0,25.8,0.037171,0.624391,28,0,1,1,1,1,1,,,,,,,,,,,,9.39116080264387,10.084224522941467,0.0,21.16519085664868,1,0.0,0.0,8.797113015518004,9.490109021467145,6.11,21.16519085664868,0.0,25.8,0.037171,0.624391,27,,,,,,,,,0.0,0.0
000528,柳工,2019,C35,专用设备制造业,1,,3.51,-25522413.72,136119539.84,1206,,0.75,24.12,0.03596,0.637307,26,0,0,0,0,0,0,,,,,,,,,,,,7.095893221097532,7.788211729734966,0.0,18.729044034391173,1,0.0,0.0,7.095893221097532,7.788211729734966,3.51,18.729044034391173,0.0,24.12,0.03596,0.637307,26,,,,,,,,,0.0,
000528,柳工,2020,C35,专用设备制造业,1,,3.23,-40868094.64,217963171.4133333,1311,,0.75,24.25,0.039561,0.649732,27,0,0,0,0,0,0,,,,,,,,,,,,7.179307969504034,7.871692809780613,0.0,19.199836672598636,1,0.0,0.0,7.179307969504034,7.871692809780613,3.23,19.199836672598636,0.0,24.25,0.039561,0.649732,27,,,,,,,,,0.0,0.0
000528,柳工,2021,C35,专用设备制造业,1,,3.26,-59552040.38,238208161.52,2278,,1.0,24.42,0.025171,0.600767,28,1,1,0,0,1,0,,,,,,,,,,,,7.731492029245684,8.424200372743272,0.0,19.288655481804653,1,0.0,0.0,7.731492029245684,8.424200372743272,3.26,19.288655481804653,0.0,24.42,0.025171,0.600767,27,,,,,,,,,0.0,0.0
000528,柳工,2022,C35,专用设备制造业,1,,3.54,-87351430.66,349405722.64,2659,,1.0,24.47,0.015307,0.593573,29,1,1,1,0,1,1,,,,,,,,,,,,7.886081401775745,8.578852607162236,0.0,19.671744336869498,1,0.0,0.0,7.886081401775745,8.578852607162236,3.54,19.671744336869498,0.0,24.47,0.015307,0.593573,27,,,,,,,,,0.0,0.0
000528,柳工,2023,C35,专用设备制造业,1,,3.8,-80304691.01,321218764.04,2882,37423348.35,1.0,24.56,0.020216,0.613625,30,1,1,1,1,1,1,,,,,,,,,,,,7.9665866976384025,8.65938698721841,0.0,19.587632959999144,0,37423348.35,17.437805381752867,7.9665866976384025,8.65938698721841,3.8,19.587632959999144,17.437805381752867,24.56,0.020216,0.613625,27,,,,,,,,,0.0,0.0
000528,柳工,2024,C35,专用设备制造业,1,,4.11,-109742416.81,438969667.24,3235,,1.0,24.59,0.028948,0.600989,31,1,1,1,1,1,1,,,,,,,,,,,,8.082093278178382,8.774931411383585,0.0,19.899940875805044,1,0.0,0.0,8.082093278178382,8.774931411383585,4.11,19.899940875805044,0.0,24.59,0.028948,0.600989,27,,,,,,,,,0.0,0.0
000547,航天发展,2019,C39,计算机、通信和其他电子设备制造业,1,,13.94,-43791979.27,233557222.7733333,374,44519075.82,0.75,23.1,0.065514,0.247343,26,0,0,0,0,0,0,,,,,,,,,,,,5.926926025970411,6.617404765267006,0.0,19.26893767474163,0,44519075.82,17.611428347858325,5.926926025970411,6.617404765267006,13.94,19.26893767474163,17.611428347858325,23.1,0.065514,0.247343,26,,,,,,,,,0.0,
000547,航天发展,2020,C39,计算机、通信和其他电子设备制造业,1,,12.57,-41702414.47,222412877.1733333,453,11306886.28,0.75,23.24,0.066789,0.255404,27,0,0,0,0,0,0,,,,,,,,,,,,6.118097198041348,6.809040524310907,0.0,19.22004602411988,0,11306886.28,16.240922591821967,6.118097198041348,6.809040524310907,12.57,19.22004602411988,16.240922591821967,23.24,0.066789,0.255404,27,,,,,,,,,0.0,0.0
000547,航天发展,2021,C39,计算机、通信和其他电子设备制造业,1,,13.27,-61159478.99,244637915.96,479,23109447.38,1.0,23.36,0.045585,0.294669,28,0,1,0,0,1,0,,,,,,,,,,,,6.173786103901937,6.864848867573815,0.0,19.315289785393276,0,23109447.38,16.955752112645047,6.173786103901937,6.864848867573815,13.27,19.315289785393276,16.955752112645047,23.36,0.045585,0.294669,27,,,,,,,,,0.0,0.0
000547,航天发展,2022,C39,计算机、通信和其他电子设备制造业,1,,13.58,-71599028.77,286396115.08,500,34602060.15,1.0,23.41,0.004391,0.309419,29,0,1,1,0,1,1,,,,,,,,,,,,6.2166061010848646,6.907756278980637,0.0,19.472886431785625,0,34602060.15,17.359423809062932,6.2166061010848646,6.907756278980637,13.58,19.472886431785625,17.359423809062932,23.41,0.004391,0.309419,27,,,,,,,,,0.0,0.0
000547,航天发展,2023,C39,计算机、通信和其他电子设备制造业,1,,30.54,-51033545.67,204134182.68,685,1159500.0,1.0,23.28,-0.175532,0.387746,30,0,1,1,1,1,1,,,,,,,,,,,,6.530877627725885,7.222566551615181,0.0,19.134288098714386,0,1159500.0,13.963500298118058,6.530877627725885,7.222566551615181,30.54,19.134288098714386,13.963500298118058,23.28,-0.175532,0.387746,27,,,,,,,,,0.0,0.0
000547,航天发展,2024,C39,计算机、通信和其他电子设备制造业,1,,26.4,-70614724.72,282458898.88,732,1045388.76,1.0,23.15,-0.162306,0.468067,31,0,1,1,1,1,1,,,,,,,,,,,,6.597145701886651,7.288928161092043,0.0,19.459043610816046,0,1045388.76,13.859900349919316,6.597145701886651,7.288928161092043,26.4,19.459043610816046,13.859900349919316,23.15,-0.162306,0.468067,27,,,,,,,,,0.0,0.0
000551,创元科技,2019,S91,综合,0,江苏省,4.59,-13629247.95,72689322.39999999,425,,0.75,22.26,0.042358,0.483675,25,0,0,0,0,0,0,99836.9,11.51129313344172,12573.55,572.04,4.55,89.92,172409.0,39681.0,594249.0,314395.0,1471.52,6.054439346269371,6.745237733564534,0.0,18.101705073397138,1,0.0,0.0,6.054439346269371,6.745237733564534,4.59,18.101705073397138,0.0,22.26,0.042358,0.483675,25,4.55,99836.9,12573.55,572.04,89.92,1471.52,172409.0,39681.0,0.0,
000551,创元科技,2020,S91,综合,0,江苏省,5.02,-13483683.94,71912981.01333334,480,,0.75,22.33,0.040709,0.469686,26,0,0,0,0,0,0,104566.6,11.55757946795866,13681.55,584.39,4.27,89.92,177995.0,45975.0,719452.0,499167.0,2087.85,6.175867270105761,6.86693436952956,0.0,18.090967362906586,1,0.0,0.0,6.175867270105761,6.86693436952956,5.02,18.090967362906586,0.0,22.33,0.040709,0.469686,26,4.27,104566.6,13681.55,584.39,89.92,2087.85,177995.0,45975.0,0.0,0.0
000559,万向钱潮,2022,C36,汽车制造业,1,浙江省,3.79,-76093656.13,304374624.52,2983,15511669.61,1.0,23.68,0.042617,0.535167,28,0,1,1,0,1,1,80770.0,11.29936088843634,12017.78,680.89,5.67,91.29,122807.0,61286.0,513830.0,443985.0,2435.07,8.001019961323651,8.693831993169981,0.0,19.533769821475936,0,15511669.61,16.55710324115106,8.001019961323651,8.693831993169981,3.79,19.533769821475936,16.55710324115106,23.68,0.042617,0.535167,27,5.67,80770.0,12017.78,680.89,91.29,2435.07,122807.0,61286.0,0.0,
000625,长安汽车,2021,C36,汽车制造业,1,重庆市,4.59,-460162054.44,1840648217.76,6255,521570527.2,1.0,25.63,0.026618,0.587413,24,0,1,0,0,1,0,28092.5,10.24325791578206,4835.06,92.64,1.92,81.54,24068.0,9413.0,83555.0,76206.0,184.52,8.741296282225147,9.434283609850729,0.0,21.333383639331114,0,521570527.2,20.07235506429633,8.741296282225147,9.434283609850729,4.59,21.333383639331114,17.620652261238988,25.63,0.026618,0.587413,24,1.92,28092.5,4835.06,92.64,81.54,184.52,24068.0,9413.0,0.0,
000625,长安汽车,2022,C36,汽车制造业,1,重庆市,4.68,-480741014.87,1922964059.48,8330,179583821.24,1.0,25.71,0.053028,0.568987,25,0,1,1,0,1,1,28771.8,10.26715101976053,4892.77,98.89,2.02,81.54,28907.0,12207.0,86751.0,66467.0,559.47,9.027738775974909,9.720765919323716,0.0,21.377133614080435,0,179583821.24,19.006152633160532,8.797113015518004,9.490109021467145,4.68,21.377133614080435,17.620652261238988,25.71,0.053028,0.568987,25,2.02,28771.8,4892.77,98.89,81.54,559.47,28907.0,12207.0,0.0,0.0
000625,长安汽车,2023,C36,汽车制造业,1,重庆市,5.95,-749436146.91,2997744587.64,9322,86393841.24,1.0,25.97,0.049965,0.607284,26,0,1,1,1,1,1,30614.3,10.3292224990418,5304.56,102.54,1.93,81.54,30517.0,13600.0,92060.0,54136.0,718.49,9.140239744296693,9.833279660369511,0.0,21.821126039081665,0,86393841.24,18.27442696086406,8.797113015518004,9.490109021467145,5.95,21.512866721579247,17.620652261238988,25.87079999999999,0.049965,0.607284,26,1.93,30614.3,5304.56,102.54,81.54,718.49,30517.0,13600.0,0.0,0.0
000625,长安汽车,2024,C36,汽车制造业,1,重庆市,6.36,-756608114.92,3026432459.68,11700,10090801.9,1.0,26.06,0.029323,0.620112,27,0,1,1,1,1,1,32046.7,10.37494949292908,5621.21,,,81.54,32663.0,14282.0,96787.0,54753.0,943.82,9.367429587218957,10.060491303172077,0.0,21.830650357064854,0,10090801.9,16.127134962999442,8.797113015518004,9.490109021467145,6.36,21.512866721579247,16.127134962999442,25.87079999999999,0.029323,0.620112,27,,32046.7,5621.21,,81.54,943.82,32663.0,14282.0,0.0,0.0
000636,风华高科,2023,C39,计算机、通信和其他电子设备制造业,1,广东省,4.57,-25208192.74,100832770.96,691,,1.0,23.47,0.011634,0.224192,27,1,1,1,1,1,1,137905.4,11.83432322182544,18527.03,980.46,5.29,93.54,240223.0,143141.0,963732.0,703695.0,3866.78,6.539585955617669,7.231287527908247,0.0,18.42897397941272,1,0.0,0.0,6.539585955617669,7.231287527908247,4.57,18.42897397941272,0.0,23.47,0.011634,0.224192,27,5.29,137905.4,18527.03,980.46,93.54,3866.78,240223.0,143141.0,0.0,
000652,泰达股份,2021,F51,批发业,0,天津市,0.3832,-1045912.82,5578201.706666666,135,200000.0,0.75,24.34,0.004243,0.7840141999999997,25,1,1,0,0,0,0,16093.2,9.686152101504895,3152.55,103.97,3.3,83.24,21370.0,7376.0,90471.0,97910.0,1256.83,4.912654885736052,5.598435676137257,0.0,15.53437718689412,0,200000.0,12.206077645517674,4.912654885736052,5.598435676137257,0.385376,15.53437718689412,12.206077645517674,24.34,0.004243,0.7834995759999995,25,3.3,16093.2,3193.4684,103.97,83.24,1256.83,21370.0,7376.0,0.0,
000680,山推股份,2024,C35,专用设备制造业,1,山东省,3.81,-60400486.82,241601947.28,1280,21605939.2,1.0,23.63,0.060394,0.697326,27,0,1,1,1,1,1,98406.9,11.49686620253314,13077.19,,,90.33,110207.0,63822.0,442533.0,281580.0,4866.92,7.155396301896734,7.847762690061463,0.0,19.302802088065267,0,21605939.2,16.88847884410554,7.155396301896734,7.847762690061463,3.81,19.302802088065267,16.88847884410554,23.63,0.060394,0.697326,27,,98406.9,13077.19,,90.33,4866.92,110207.0,63822.0,0.0,
000701,厦门信达,2019,F51,批发业,0,,0.3832,-8397864.23,44788609.22666667,321,86666.65,0.75,23.71,-0.13318,0.7840141999999997,22,0,0,0,0,0,0,,,,,,,,,,,,5.7745515455444085,6.464590729899821,0.0,17.617464429049857,0,86666.65,11.369835967419034,5.7745515455444085,6.464590729899821,0.385376,17.617464429049857,11.369835967419034,23.71,-0.13318,0.7834995759999995,22,,,,,,,,,0.0,
000701,厦门信达,2020,F51,批发业,0,,0.3832,-7398272.82,39457455.04,357,1796869.28,0.75,23.61,0.003157,0.7840141999999997,23,0,0,0,0,0,0,,,,,,,,,,,,5.8805329864007,6.570884923902754,0.0,17.49073358714447,0,1796869.28,14.401556976181794,5.8805329864007,6.570884923902754,0.385376,17.49073358714447,14.401556976181794,23.61,0.003157,0.7834995759999995,23,,,,,,,,,0.0,0.0
000739,普洛药业,2022,C27,医药制造业,1,浙江省,5.07,-61347514.26,245390057.04,147,19963945.0,1.0,23.21,0.082317,0.5407,25,0,1,1,0,1,1,80770.0,11.29936088843634,12017.78,680.89,5.67,91.29,122807.0,61286.0,513830.0,443985.0,2435.07,4.997212273764115,5.683591336391467,0.0,19.318359576135965,0,19963945.0,16.809438504699216,4.997212273764115,5.683591336391467,5.07,19.318359576135965,16.809438504699216,23.21,0.082317,0.5407,25,5.67,80770.0,12017.78,680.89,91.29,2435.07,122807.0,61286.0,0.0,
000739,普洛药业,2023,C27,医药制造业,1,浙江省,5.1,-89399154.75,357596619.0,139,4784098.4,1.0,23.27,0.082655,0.512016,26,0,1,1,1,1,1,85619.6,11.35766950788237,12353.09,787.48,6.37,91.29,117996.0,64760.0,553317.0,381835.0,4323.71,4.941642422609304,5.6276340527283635,0.0,19.694916149317397,0,4784098.4,15.380808351988726,4.941642422609304,5.6276340527283635,5.1,19.694916149317397,15.380808351988726,23.27,0.082655,0.512016,26,6.37,85619.6,12353.09,787.48,91.29,4323.71,117996.0,64760.0,0.0,0.0
000739,普洛药业,2024,C27,医药制造业,1,浙江省,5.34,-86680262.91,346721051.64,145,,1.0,23.27,0.080984,0.469724,27,0,1,1,1,1,1,90007.0,11.40764272406565,12564.65,,,91.29,132051.0,78477.0,576160.0,400795.0,5015.22,4.983606621708336,5.669892813374867,0.0,19.664031131742178,1,0.0,0.0,4.983606621708336,5.669892813374867,5.34,19.664031131742178,0.0,23.27,0.080984,0.469724,27,,90007.0,12564.65,,91.29,5015.22,132051.0,78477.0,0.0,0.0
000762,西藏矿业,2022,B08,黑色金属矿采选业,0,西藏自治区,0.3832,-110377.36,588679.2533333333,7,,0.75,22.74,0.194119,0.459416,25,0,1,1,0,0,0,2235.4,7.712175461951511,2592.98,8.31,0.32,67.77,585.0,149.0,3135.0,2127.0,6.21,2.0794415416798357,2.644120761058629,0.0,13.285638451619285,1,0.0,0.0,2.302585092994046,2.8934439858858716,0.385376,14.887738438129867,0.0,22.74,0.194119,0.459416,25,0.87,14254.544,3193.4684,39.5842,76.2728,50.382,7312.0,2204.08,0.0,
000777,中核科技,2023,C34,通用设备制造业,1,,4.02,-8214489.64,32857958.56,100,1591500.0,1.0,21.91,0.067612,0.390748,26,0,1,1,1,1,1,,,,,,,,,,,,4.61512051684126,5.298342365610589,0.0,17.30770457369716,0,1591500.0,14.280188154042133,4.61512051684126,5.298342365610589,4.02,17.30770457369716,14.280188154042133,21.91,0.067612,0.390748,26,,,,,,,,,0.0,
000778,新兴铸管,2023,C33,金属制品业,0,河北省,3.06,-16704282.42,66817129.68,2765,92732439.08,1.0,24.74,0.025436,0.487087,26,0,1,1,1,0,0,45660.0,10.72897792008379,9606.21,131.04,1.36,81.61,28929.0,14213.0,149855.0,92009.0,1783.09,7.925157512224703,8.617943127216527,0.0,18.017470052935273,0,92732439.08,18.345228916244505,7.925157512224703,8.617943127216527,3.06,18.017470052935273,17.620652261238988,24.74,0.025436,0.487087,26,1.36,45660.0,9606.21,131.04,81.61,1783.09,28929.0,14213.0,0.0,
000807,云铝股份,2019,C32,有色金属冶炼和压延加工业,0,云南省,4.13,-1886716.34,10062487.14666667,404,,0.75,24.4,0.013775,0.682323,21,0,0,0,0,0,0,23902.1,10.08172160016839,6770.09,59.0,0.87,76.67,8996.0,2174.0,35212.0,22324.0,82.7,6.003887067106539,6.694563590230153,0.0,16.12432502273725,1,0.0,0.0,6.003887067106539,6.694563590230153,4.13,16.12432502273725,0.0,24.4,0.013775,0.682323,21,0.87,23902.1,6770.09,59.0,76.67,82.7,8996.0,2204.08,0.0,
000807,云铝股份,2020,C32,有色金属冶炼和压延加工业,0,云南省,3.99,-20688468.02,110338496.1066667,454,,0.75,24.44,0.030079,0.664574,22,0,0,0,0,0,0,25214.5,10.13517450484763,6974.02,64.94,0.93,76.67,9753.0,2458.0,45153.0,28943.0,49.95,6.12029741895095,6.811245591508322,0.0,18.519063445149065,1,0.0,0.0,6.12029741895095,6.811245591508322,3.99,18.519063445149065,0.0,24.44,0.030079,0.664574,22,0.93,25214.5,6974.02,64.94,76.67,50.382,9753.0,2458.0,0.0,0.0
000807,云铝股份,2021,C32,有色金属冶炼和压延加工业,0,云南省,3.58,-44563133.15,237670043.4666667,529,,0.75,24.36,0.111328,0.447359,23,0,1,0,0,0,0,27895.3,10.23621349483732,6634.36,61.85,0.93,78.41,10293.0,3643.0,47997.0,41167.0,106.1,6.272877006546167,6.964136505781494,0.0,19.286393901951683,1,0.0,0.0,6.272877006546167,6.964136505781494,3.58,19.286393901951683,0.0,24.36,0.111328,0.447359,23,0.93,27895.3,6634.36,61.85,78.41,106.1,10293.0,3643.0,0.0,0.0
000807,云铝股份,2022,C32,有色金属冶炼和压延加工业,0,云南省,4.04,-33699024.87,179728132.64,583,,0.75,24.39,0.134872,0.352871,24,0,1,1,0,0,0,29301.1,10.28538033696257,6699.79,58.97,0.88,78.41,12036.0,4091.0,52999.0,39497.0,218.95,6.369900982828227,7.061335102443874,0.0,19.00695589843127,1,0.0,0.0,6.369900982828227,7.061335102443874,4.04,19.00695589843127,0.0,24.39,0.134872,0.352871,24,0.88,29301.1,6699.79,58.97,78.41,218.95,12036.0,4091.0,0.0,0.0
000807,云铝股份,2023,C32,有色金属冶炼和压延加工业,0,云南省,3.58,-35938319.54,143753278.16,654,,1.0,24.39,0.120034,0.255987,25,1,1,1,1,0,0,30595.8,10.3286180236182,6730.08,61.33,0.91,78.41,12493.0,5907.0,54207.0,32718.0,268.88,6.484635235635252,7.176255116516627,0.0,18.78360904892938,1,0.0,0.0,6.484635235635252,7.176255116516627,3.58,18.78360904892938,0.0,24.39,0.120034,0.255987,25,0.91,30595.8,6730.08,61.33,78.41,268.88,12493.0,5907.0,0.0,0.0
000810,创维数字,2019,C39,计算机、通信和其他电子设备制造业,1,四川省,5.5,-38506145.72,205366110.5066667,1051,21646281.0,0.75,23.08,0.058472,0.629257,21,0,0,0,0,0,0,47168.6,10.76148369595657,10348.17,184.95,1.79,84.93,39539.0,12053.0,131529.0,82066.0,1211.95,6.9584483932976555,7.650644777762887,0.0,19.14030485405058,0,21646281.0,16.89034426556351,6.9584483932976555,7.650644777762887,5.5,19.14030485405058,16.89034426556351,23.08,0.058472,0.629257,21,1.79,47168.6,10348.17,184.95,84.93,1211.95,39539.0,12053.0,0.0,
000819,岳阳兴长,2024,C25,石油、煤炭及其他燃料加工业,0,湖南省,1.9,-13487646.62,53950586.48,39,,1.0,21.85,0.017332,0.260265,27,0,1,1,1,0,0,53084.7,10.87964403011777,9536.26,,,83.4,38671.0,23593.0,109502.0,72376.0,4799.84,3.6888794541139363,4.356873151729317,0.0,17.80357913895111,1,0.0,0.0,3.6888794541139363,4.356873151729317,1.9,17.80357913895111,0.0,21.85,0.017332,0.260265,27,,53084.7,9536.26,,83.4,4799.84,38671.0,23593.0,0.0,
